Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29,Top30,Top31,Top32,Top33,Top34,Top35,Top36,Top37,Top38,Top39,Top40,Top41,Top42,Top43,Top44,Top45,Top46,Top47,Top48,Top49,Top50
2020-02-01,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,ada,etc,xmr,trx,xlm,xtz,dash,link,okb,leo,atom,iota,neo,cro,zec,ont,mkr,usdc,xem,vet,bat,doge,usdp,dcr,qtum,btg,rep,rvn,algo,zrx,lsk,tusd,icx,bcd,sxp,hot,snx,dai,theta,xno,zen
2020-02-02,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,ada,etc,xmr,trx,xlm,xtz,dash,link,okb,leo,iota,atom,neo,cro,zec,ont,mkr,xem,usdc,vet,bat,doge,usdp,qtum,dcr,btg,rep,rvn,zrx,lsk,algo,icx,tusd,sxp,bcd,hot,snx,dai,xno,theta,enj
2020-02-03,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,ada,etc,xtz,xmr,xlm,trx,dash,link,okb,leo,iota,atom,neo,cro,zec,ont,mkr,usdc,xem,vet,bat,doge,usdp,qtum,dcr,btg,icx,rep,rvn,zrx,algo,tusd,lsk,hot,bcd,sxp,xno,snx,dai,theta,enj
2020-02-04,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,ada,xtz,etc,xmr,xlm,trx,dash,link,okb,iota,leo,neo,atom,cro,zec,ont,mkr,usdc,xem,vet,bat,doge,usdp,qtum,dcr,btg,icx,rep,rvn,algo,zrx,lsk,tusd,bcd,hot,xno,dai,theta,sxp,snx,enj
2020-02-05,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,ada,xtz,etc,xlm,xmr,trx,dash,link,okb,iota,leo,neo,atom,cro,zec,ont,mkr,usdc,xem,vet,bat,doge,icx,usdp,qtum,dcr,btg,rvn,rep,lsk,algo,zrx,tusd,enj,hot,theta,xno,bcd,dai,snx,sxp
2020-02-06,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,ada,xtz,etc,xlm,trx,xmr,dash,link,okb,iota,neo,leo,atom,cro,zec,ont,xem,mkr,usdc,vet,bat,doge,qtum,dcr,icx,usdp,btg,lsk,rvn,rep,algo,zrx,tusd,hot,xno,enj,bcd,theta,dai,sxp,snx
2020-02-07,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,ada,xtz,trx,xlm,etc,xmr,dash,okb,link,iota,neo,leo,atom,cro,zec,ont,xem,mkr,usdc,vet,bat,doge,qtum,icx,dcr,usdp,btg,rvn,lsk,zrx,rep,algo,tusd,hot,xno,enj,theta,bcd,dai,waves,snx
2020-02-08,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,ada,xtz,trx,xlm,xmr,etc,link,dash,okb,atom,leo,neo,iota,cro,zec,ont,xem,mkr,vet,usdc,bat,doge,qtum,dcr,usdp,icx,lsk,btg,rvn,algo,rep,zrx,tusd,hot,bcd,xno,theta,enj,dai,waves,hc
2020-02-09,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,ada,xtz,trx,xlm,xmr,etc,link,dash,okb,leo,neo,atom,iota,cro,zec,ont,xem,mkr,vet,usdc,doge,bat,qtum,lsk,dcr,usdp,btg,icx,rvn,algo,rep,zrx,bcd,hot,tusd,xno,theta,enj,dai,waves,hc
2020-02-10,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,ada,xtz,xmr,xlm,trx,etc,link,dash,okb,neo,leo,atom,iota,cro,zec,xem,ont,mkr,usdc,vet,doge,bat,lsk,qtum,dcr,btg,icx,usdp,algo,rvn,zrx,bcd,rep,hot,tusd,xno,theta,enj,dai,waves,nexo
2020-02-11,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,ada,xtz,okb,xmr,trx,xlm,etc,link,dash,leo,neo,atom,iota,cro,zec,ont,xem,mkr,usdc,vet,bat,doge,lsk,qtum,btg,dcr,usdp,algo,icx,bcd,rvn,rep,zrx,waves,tusd,hot,xno,theta,enj,dai,nexo
2020-02-12,btc,eth,xrp,bch,bsv,eos,ltc,usdt,bnb,xtz,ada,okb,xmr,trx,xlm,link,etc,dash,leo,atom,neo,iota,cro,xem,zec,ont,mkr,vet,usdc,bat,doge,lsk,qtum,dcr,btg,usdp,algo,icx,rvn,zrx,bcd,rep,waves,xno,tusd,hot,theta,enj,dai,nexo
2020-02-13,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,xtz,ada,okb,xmr,xlm,trx,link,etc,dash,neo,leo,atom,iota,cro,xem,ont,zec,mkr,vet,bat,usdc,doge,lsk,qtum,dcr,btg,algo,icx,hbar,usdp,rvn,zrx,rep,bcd,hot,xno,waves,tusd,theta,enj,nexo
2020-02-14,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,xtz,ada,okb,xlm,xmr,trx,link,etc,dash,neo,leo,atom,cro,iota,ont,zec,xem,mkr,vet,usdc,bat,doge,qtum,dcr,lsk,btg,usdp,algo,icx,zrx,rvn,bcd,rep,hbar,theta,hot,tusd,xno,waves,nexo,enj
2020-02-15,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,xtz,ada,okb,xlm,trx,xmr,link,etc,dash,neo,atom,leo,cro,iota,ont,xem,zec,mkr,vet,bat,usdc,doge,qtum,lsk,dcr,btg,rvn,algo,zrx,usdp,icx,bcd,rep,hbar,theta,hot,waves,xno,tusd,sc,enj
2020-02-16,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,xtz,ada,okb,xlm,link,trx,xmr,etc,dash,neo,leo,atom,cro,iota,xem,ont,zec,mkr,vet,usdc,bat,doge,qtum,lsk,dcr,usdp,rvn,btg,algo,zrx,icx,rep,bcd,theta,hbar,hot,xno,waves,tusd,sc,dai
2020-02-17,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,ada,okb,link,xmr,xlm,trx,etc,dash,neo,leo,cro,atom,iota,xem,ont,mkr,zec,vet,usdc,bat,doge,lsk,qtum,dcr,usdp,algo,rvn,btg,zrx,icx,hbar,rep,hot,bcd,tusd,xno,waves,theta,dai,sc
2020-02-18,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,okb,ada,link,xlm,xmr,trx,etc,dash,neo,leo,atom,cro,iota,zec,xem,ont,mkr,usdc,vet,bat,doge,lsk,qtum,dcr,usdp,algo,btg,rvn,zrx,icx,hbar,bcd,rep,hot,theta,tusd,waves,xno,sc,dai
2020-02-19,btc,eth,xrp,bch,bsv,ltc,eos,usdt,bnb,xtz,ada,okb,link,xlm,xmr,trx,etc,neo,dash,leo,cro,atom,iota,zec,xem,ont,mkr,vet,usdc,bat,doge,qtum,lsk,dcr,algo,usdp,icx,btg,rvn,zrx,hbar,sc,bcd,rep,waves,theta,hot,tusd,xno,enj
2020-02-20,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,okb,ada,link,xlm,xmr,trx,etc,neo,dash,leo,cro,atom,iota,mkr,zec,ont,xem,usdc,vet,bat,doge,qtum,lsk,dcr,algo,usdp,icx,btg,zrx,rvn,hbar,rep,bcd,tusd,sc,waves,theta,hot,xno,enj
2020-02-21,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,okb,ada,link,xlm,xmr,trx,etc,neo,dash,leo,atom,cro,iota,mkr,zec,xem,ont,usdc,vet,bat,doge,algo,qtum,dcr,usdp,lsk,icx,btg,zrx,rvn,rep,waves,hbar,bcd,tusd,sc,theta,hot,xno,dai
2020-02-22,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,okb,ada,link,xlm,xmr,trx,etc,dash,neo,atom,leo,cro,iota,zec,xem,mkr,ont,usdc,vet,bat,doge,algo,qtum,dcr,usdp,icx,lsk,btg,zrx,rvn,hbar,rep,waves,bcd,tusd,sc,theta,hot,xno,dai
2020-02-23,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,ada,okb,link,xlm,xmr,trx,etc,dash,neo,atom,leo,cro,iota,mkr,zec,ont,xem,usdc,vet,bat,doge,algo,dcr,qtum,usdp,icx,lsk,btg,zrx,rvn,hbar,rep,tusd,waves,bcd,sc,hot,theta,xno,dai
2020-02-24,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,ada,okb,link,xmr,xlm,trx,etc,neo,dash,leo,atom,cro,iota,zec,ont,mkr,xem,vet,usdc,bat,doge,algo,qtum,dcr,lsk,usdp,icx,btg,zrx,rvn,rep,waves,bcd,hbar,tusd,theta,hot,sc,xno,dai
2020-02-25,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,ada,okb,link,xlm,xmr,trx,etc,dash,neo,leo,atom,cro,iota,zec,mkr,ont,xem,usdc,vet,bat,doge,algo,dcr,qtum,lsk,usdp,icx,btg,zrx,rvn,theta,rep,tusd,waves,bcd,hbar,hot,dai,xno,sc
2020-02-26,btc,eth,xrp,bch,bsv,ltc,usdt,eos,bnb,xtz,ada,okb,xmr,xlm,link,trx,etc,dash,leo,neo,cro,atom,iota,zec,mkr,ont,xem,usdc,vet,bat,doge,algo,qtum,dcr,usdp,lsk,icx,btg,zrx,rvn,tusd,rep,theta,waves,bcd,dai,hot,hbar,xno,enj
2020-02-27,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,ada,okb,link,xmr,xlm,trx,leo,etc,dash,neo,cro,atom,iota,zec,mkr,ont,usdc,xem,vet,bat,doge,algo,dcr,qtum,usdp,lsk,icx,zrx,rvn,btg,tusd,rep,dai,theta,bcd,waves,hot,hbar,xno,sc
2020-02-28,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,okb,ada,link,xmr,xlm,trx,leo,etc,dash,neo,cro,atom,iota,mkr,zec,ont,xem,usdc,vet,bat,doge,algo,qtum,usdp,dcr,lsk,icx,zrx,rvn,btg,tusd,rep,dai,theta,waves,hbar,bcd,hot,sc,xno
2020-02-29,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,okb,link,ada,xmr,xlm,trx,leo,etc,dash,neo,cro,atom,iota,mkr,zec,xem,usdc,ont,vet,bat,doge,algo,qtum,usdp,dcr,lsk,icx,zrx,rvn,btg,tusd,rep,theta,dai,hbar,waves,bcd,hot,sc,xno
2020-03-01,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,okb,link,ada,xmr,xlm,trx,leo,etc,dash,neo,cro,atom,iota,mkr,zec,usdc,xem,ont,vet,bat,doge,algo,usdp,qtum,dcr,lsk,icx,rvn,btg,zrx,tusd,rep,dai,theta,hbar,waves,bcd,hot,sc,xno
2020-03-02,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,okb,ada,link,xlm,xmr,trx,leo,etc,neo,dash,cro,atom,iota,mkr,zec,usdc,xem,ont,vet,bat,doge,usdp,algo,qtum,dcr,lsk,btg,icx,zrx,tusd,rvn,rep,bcd,dai,theta,hbar,waves,hot,sc,xno
2020-03-03,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,xtz,okb,link,ada,xmr,xlm,trx,etc,leo,neo,dash,cro,atom,iota,mkr,xem,zec,ont,usdc,vet,bat,doge,algo,qtum,dcr,lsk,usdp,btg,icx,zrx,rvn,tusd,rep,bcd,hbar,theta,waves,dai,hot,xno,nexo
2020-03-04,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,xtz,link,okb,ada,xlm,xmr,trx,etc,leo,dash,neo,cro,atom,iota,xem,zec,usdc,mkr,ont,vet,bat,doge,algo,qtum,dcr,usdp,lsk,icx,btg,zrx,rvn,tusd,hbar,rep,theta,bcd,dai,waves,hot,xno,ckb
2020-03-05,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,link,okb,ada,xlm,trx,xmr,leo,etc,neo,dash,cro,atom,iota,xem,mkr,usdc,zec,ont,vet,bat,doge,algo,dcr,qtum,usdp,lsk,btg,icx,zrx,rvn,hbar,rep,tusd,theta,bcd,waves,dai,hot,ckb,xno
2020-03-06,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,xtz,link,ada,okb,xlm,xmr,trx,leo,etc,neo,dash,cro,atom,iota,xem,zec,mkr,ont,usdc,vet,bat,doge,algo,dcr,qtum,btg,icx,lsk,usdp,zrx,rvn,hbar,theta,rep,tusd,bcd,waves,dai,hot,xno,nexo
2020-03-07,btc,eth,xrp,bch,bsv,usdt,ltc,eos,bnb,xtz,link,ada,okb,xlm,trx,xmr,leo,etc,dash,neo,cro,atom,iota,mkr,zec,xem,ont,usdc,vet,bat,doge,algo,qtum,dcr,btg,lsk,icx,hbar,usdp,zrx,rvn,rep,waves,tusd,theta,bcd,dai,hot,xno,nexo
2020-03-08,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,link,ada,okb,xlm,xmr,trx,leo,etc,dash,neo,cro,atom,iota,mkr,xem,zec,usdc,ont,vet,bat,doge,algo,qtum,dcr,usdp,btg,lsk,hbar,icx,zrx,rvn,rep,tusd,theta,waves,bcd,dai,hot,xno,nexo
2020-03-09,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,link,ada,okb,xlm,xmr,trx,leo,etc,cro,neo,dash,atom,iota,usdc,mkr,xem,zec,ont,vet,bat,doge,algo,usdp,dcr,qtum,hbar,lsk,btg,icx,zrx,tusd,rvn,rep,dai,theta,bcd,waves,hot,xno,nexo
2020-03-10,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,link,ada,okb,xlm,trx,xmr,leo,etc,cro,neo,dash,atom,iota,usdc,mkr,xem,zec,ont,vet,bat,doge,usdp,qtum,algo,dcr,icx,btg,lsk,hbar,zrx,rvn,rep,tusd,dai,bcd,theta,waves,hot,xno,nexo
2020-03-11,btc,eth,xrp,bch,usdt,bsv,ltc,eos,bnb,xtz,link,ada,okb,xlm,trx,leo,xmr,etc,cro,dash,neo,atom,iota,usdc,mkr,xem,zec,ont,vet,bat,doge,usdp,algo,qtum,dcr,lsk,btg,icx,hbar,zrx,rvn,waves,tusd,rep,dai,bcd,theta,hot,xno,nexo
